A,PTP_RT,F,H0000-0009,AC82,RO	: 	1.3 
A,PTP_RT,F,H0000-0009,AC82,RS	: 	4.6 
A,PTP_RT,F,H0000-0009,AC82,SI	1.44 	: 
A,PTP_RT,F,H0000-0009,AC82,TR	: 	4.4 
A,PTP_RT,F,H0000-0009,AC82,UK	3.93 	3.1 
A,PTP_RT,F,H0000-0009,AC9E,BE	0.01 	0.0 
A,PTP_RT,F,H0000-0009,AC9E,BG	0.10 	: 
A,PTP_RT,F,H0000-0009,AC9E,DE	0.05 	0.0 
A,PTP_RT,F,H0000-0009,AC9E,EE	0.17 	0.2 
A,PTP_RT,F,H0000-0009,AC9E,EL	: 	0.2 
A,PTP_RT,F,H0000-0009,AC9E,ES	0.24 	0.2 
A,PTP_RT,F,H0000-0009,AC9E,FI	0.13 	0.1 
A,PTP_RT,F,H0000-0009,AC9E,FR	0.06 	0.0 
A,PTP_RT,F,H0000-0009,AC9E,HU	: 	0.1 
A,PTP_RT,F,H0000-0009,AC9E,IT	0.14 	0.1 
A,PTP_RT,F,H0000-0009,AC9E,LT	0.11 	: 
A,PTP_RT,F,H0000-0009,AC9E,LU	: 	0.2 
A,PTP_RT,F,H0000-0009,AC9E,LV	0.11 	: 
A,PTP_RT,F,H0000-0009,AC9E,NL	: 	0.2 
A,PTP_RT,F,H0000-0009,AC9E,NO	0.15 	0.1 
A,PTP_RT,F,H0000-0009,AC9E,PL	0.06 	0.1 
A,PTP_RT,F,H0000-0009,AC9E,RO	: 	0.0 
A,PTP_RT,F,H0000-0009,AC9E,RS	: 	0.1 
A,PTP_RT,F,H0000-0009,AC9E,SI	0.10 	: 
A,PTP_RT,F,H0000-0009,AC9E,TR	: 	0.1 
A,PTP_RT,F,H0000-0009,AC9E,UK	0.21 	0.1 
A,PTP_RT,F,H0000-0009,NSP,BE	0.76 	0.3 
A,PTP_RT,F,H0000-0009,NSP,BG	0.12 	: 
A,PTP_RT,F,H0000-0009,NSP,DE	0.21 	0.2 
A,PTP_RT,F,H0000-0009,NSP,EE	0.35 	0.3 
A,PTP_RT,F,H0000-0009,NSP,EL	: 	1.1 
A,PTP_RT,F,H0000-0009,NSP,ES	0.51 	0.5 
A,PTP_RT,F,H0000-0009,NSP,FI	0.51 	0.3 
A,PTP_RT,F,H0000-0009,NSP,FR	0.92 	1.2 
A,PTP_RT,F,H0000-0009,NSP,HU	: 	0.1 
A,PTP_RT,F,H0000-0009,NSP,IT	0.60 	0.3 
A,PTP_RT,F,H0000-0009,NSP,LT	0.11 	: 
A,PTP_RT,F,H0000-0009,NSP,LU	: 	0.2 
A,PTP_RT,F,H0000-0009,NSP,LV	0.07 	: 
A,PTP_RT,F,H0000-0009,NSP,NL	: 	1.1 
A,PTP_RT,F,H0000-0009,NSP,NO	0.08 	0.3 
A,PTP_RT,F,H0000-0009,NSP,PL	0.44 	0.1 
A,PTP_RT,F,H0000-0009,NSP,RO	: 	0.2 
A,PTP_RT,F,H0000-0009,NSP,RS	: 	0.1 
A,PTP_RT,F,H0000-0009,NSP,SI	0.17 	: 
A,PTP_RT,F,H0000-0009,NSP,TR	: 	0.4 
A,PTP_RT,F,H0000-0009,NSP,UK	0.26 	3.0 
A,PTP_RT,F,H0000-0009,TOTAL,BE	100.00 	100 
A,PTP_RT,F,H0000-0009,TOTAL,BG	100.00 	: 
A,PTP_RT,F,H0000-0009,TOTAL,DE	100.00 	100 
A,PTP_RT,F,H0000-0009,TOTAL,EE	100.00 	100 
A,PTP_RT,F,H0000-0009,TOTAL,EL	: 	100 
A,PTP_RT,F,H0000-0009,TOTAL,ES	100.00 	100 
A,PTP_RT,F,H0000-0009,TOTAL,FI	100.00 	100 
A,PTP_RT,F,H0000-0009,TOTAL,FR	100.00 	100 
A,PTP_RT,F,H0000-0009,TOTAL,HU	: 	100 
A,PTP_RT,F,H0000-0009,TOTAL,IT	100.00 	100 
A,PTP_RT,F,H0000-0009,TOTAL,LT	100.00 	: 
A,PTP_RT,F,H0000-0009,TOTAL,LU	: 	100 
A,PTP_RT,F,H0000-0009,TOTAL,LV	100.00 	: 
A,PTP_RT,F,H0000-0009,TOTAL,NL	: 	100 
A,PTP_RT,F,H0000-0009,TOTAL,NO	100.00 	100 
A,PTP_RT,F,H0000-0009,TOTAL,PL	100.00 	100 
A,PTP_RT,F,H0000-0009,TOTAL,RO	: 	100 
A,PTP_RT,F,H0000-0009,TOTAL,RS	: 	100 
A,PTP_RT,F,H0000-0009,TOTAL,SI	100.00 	: 
A,PTP_RT,F,H0000-0009,TOTAL,TR	: 	100 
A,PTP_RT,F,H0000-0009,TOTAL,UK	100.00 	100 
A,PTP_RT,F,H0010-0019,AC02,BE	1.07 	0.9 
A,PTP_RT,F,H0010-0019,AC02,BG	0.19 	: 
A,PTP_RT,F,H0010-0019,AC02,DE	0.37 	0.2 
A,PTP_RT,F,H0010-0019,AC02,EE	0.30 	0.5 
A,PTP_RT,F,H0010-0019,AC02,EL	: 	1.1 
A,PTP_RT,F,H0010-0019,AC02,ES	1.18 	1.7 
A,PTP_RT,F,H0010-0019,AC02,FI	0.42 	0.6 
A,PTP_RT,F,H0010-0019,AC02,FR	1.14 	1.0 
A,PTP_RT,F,H0010-0019,AC02,HU	: 	0.2 
A,PTP_RT,F,H0010-0019,AC02,IT	0.45 	0.3 
A,PTP_RT,F,H0010-0019,AC02,LT	0.14 	: 
A,PTP_RT,F,H0010-0019,AC02,LU	: 	0.6 
A,PTP_RT,F,H0010-0019,AC02,LV	0.18 	: 
A,PTP_RT,F,H0010-0019,AC02,NL	: 	1.1 
A,PTP_RT,F,H0010-0019,AC02,NO	0.59 	0.4 
A,PTP_RT,F,H0010-0019,AC02,PL	0.17 	0.2 
A,PTP_RT,F,H0010-0019,AC02,RO	: 	0.2 
A,PTP_RT,F,H0010-0019,AC02,RS	: 	0.4 
A,PTP_RT,F,H0010-0019,AC02,SI	0.16 	: 
A,PTP_RT,F,H0010-0019,AC02,TR	: 	0.7 
A,PTP_RT,F,H0010-0019,AC02,UK	0.97 	0.4 
A,PTP_RT,F,H0010-0019,AC0A,BE	86.30 	87.3 
A,PTP_RT,F,H0010-0019,AC0A,BG	96.03 	: 
A,PTP_RT,F,H0010-0019,AC0A,DE	89.16 	89.9 
A,PTP_RT,F,H0010-0019,AC0A,EE	89.04 	89.6 
A,PTP_RT,F,H0010-0019,AC0A,EL	: 	78.3 
A,PTP_RT,F,H0010-0019,AC0A,ES	73.59 	72.4 
A,PTP_RT,F,H0010-0019,AC0A,FI	88.05 	85.9 
A,PTP_RT,F,H0010-0019,AC0A,FR	91.12 	87.7 
A,PTP_RT,F,H0010-0019,AC0A,HU	: 	95.8 
A,PTP_RT,F,H0010-0019,AC0A,IT	88.62 	90.5 
A,PTP_RT,F,H0010-0019,AC0A,LT	95.59 	: 
A,PTP_RT,F,H0010-0019,AC0A,LU	: 	89.4 
A,PTP_RT,F,H0010-0019,AC0A,LV	92.71 	: 
A,PTP_RT,F,H0010-0019,AC0A,NL	: 	84.9 
A,PTP_RT,F,H0010-0019,AC0A,NO	78.82 	79.7 
A,PTP_RT,F,H0010-0019,AC0A,PL	93.44 	95.0 
A,PTP_RT,F,H0010-0019,AC0A,RO	: 	97.2 
A,PTP_RT,F,H0010-0019,AC0A,RS	: 	88.7 
A,PTP_RT,F,H0010-0019,AC0A,SI	93.94 	: 
A,PTP_RT,F,H0010-0019,AC0A,TR	: 	86.9 
A,PTP_RT,F,H0010-0019,AC0A,UK	85.15 	86.8 
A,PTP_RT,F,H0010-0019,AC1_2_TR,BE	0.48 	0.5 
A,PTP_RT,F,H0010-0019,AC1_2_TR,BG	0.73 	: 
A,PTP_RT,F,H0010-0019,AC1_2_TR,DE	0.35 	0.8 
A,PTP_RT,F,H0010-0019,AC1_2_TR,EE	2.03 	1.0 
A,PTP_RT,F,H0010-0019,AC1_2_TR,EL	: 	0.9 
A,PTP_RT,F,H0010-0019,AC1_2_TR,ES	1.65 	1.5 
A,PTP_RT,F,H0010-0019,AC1_2_TR,FI	1.21 	1.0 
A,PTP_RT,F,H0010-0019,AC1_2_TR,FR	0.54 	0.7 
A,PTP_RT,F,H0010-0019,AC1_2_TR,HU	: 	0.9 
A,PTP_RT,F,H0010-0019,AC1_2_TR,IT	0.42 	0.3 
A,PTP_RT,F,H0010-0019,AC1_2_TR,LT	1.35 	: 
A,PTP_RT,F,H0010-0019,AC1_2_TR,LU	: 	0.3 
A,PTP_RT,F,H0010-0019,AC1_2_TR,LV	1.88 	: 
A,PTP_RT,F,H0010-0019,AC1_2_TR,NL	: 	0.7 
A,PTP_RT,F,H0010-0019,AC1_2_TR,NO	1.53 	0.9 
A,PTP_RT,F,H0010-0019,AC1_2_TR,PL	1.05 	1.0 
A,PTP_RT,F,H0010-0019,AC1_2_TR,RO	: 	0.3 
A,PTP_RT,F,H0010-0019,AC1_2_TR,RS	: 	0.7 
A,PTP_RT,F,H0010-0019,AC1_2_TR,SI	0.77 	: 
A,PTP_RT,F,H0010-0019,AC1_2_TR,TR	: 	0.7 
A,PTP_RT,F,H0010-0019,AC1_2_TR,UK	1.11 	1.0 
A,PTP_RT,F,H0010-0019,AC3_TR,BE	0.74 	1.5 
A,PTP_RT,F,H0010-0019,AC3_TR,BG	0.49 	: 
A,PTP_RT,F,H0010-0019,AC3_TR,DE	0.71 	1.1 
A,PTP_RT,F,H0010-0019,AC3_TR,EE	0.84 	1.1 
A,PTP_RT,F,H0010-0019,AC3_TR,EL	: 	1.4 
A,PTP_RT,F,H0010-0019,AC3_TR,ES	2.23 	2.7 
A,PTP_RT,F,H0010-0019,AC3_TR,FI	1.00 	1.5 
A,PTP_RT,F,H0010-0019,AC3_TR,FR	0.76 	1.0 
A,PTP_RT,F,H0010-0019,AC3_TR,HU	: 	0.3 
A,PTP_RT,F,H0010-0019,AC3_TR,IT	0.78 	1.7 
A,PTP_RT,F,H0010-0019,AC3_TR,LT	0.44 	: 
A,PTP_RT,F,H0010-0019,AC3_TR,LU	: 	1.2 
A,PTP_RT,F,H0010-0019,AC3_TR,LV	0.60 	: 
A,PTP_RT,F,H0010-0019,AC3_TR,NL	: 	2.1 
A,PTP_RT,F,H0010-0019,AC3_TR,NO	1.77 	2.7 
A,PTP_RT,F,H0010-0019,AC3_TR,PL	0.62 	0.7 
A,PTP_RT,F,H0010-0019,AC3_TR,RO	: 	0.3 
A,PTP_RT,F,H0010-0019,AC3_TR,RS	: 	1.3 
A,PTP_RT,F,H0010-0019,AC3_TR,SI	0.28 	: 
A,PTP_RT,F,H0010-0019,AC3_TR,TR	: 	2.8 
A,PTP_RT,F,H0010-0019,AC3_TR,UK	1.44 	1.7 
A,PTP_RT,F,H0010-0019,AC4-8A,BE	5.67 	4.8 
A,PTP_RT,F,H0010-0019,AC4-8A,BG	1.25 	: 
A,PTP_RT,F,H0010-0019,AC4-8A,DE	6.35 	4.9 
A,PTP_RT,F,H0010-0019,AC4-8A,EE	4.43 	4.6 
A,PTP_RT,F,H0010-0019,AC4-8A,EL	: 	9.2 
A,PTP_RT,F,H0010-0019,AC4-8A,ES	9.34 	8.0 
A,PTP_RT,F,H0010-0019,AC4-8A,FI	6.12 	7.1 
A,PTP_RT,F,H0010-0019,AC4-8A,FR	3.16 	5.0 
A,PTP_RT,F,H0010-0019,AC4-8A,HU	: 	1.4 
