freq,unit,sex,wstatus,acl00,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,F,EMP,AC3,AT	: 	95.2 
A,PTP_RT,F,EMP,AC3,BE	96.9 	95.6 
A,PTP_RT,F,EMP,AC3,BG	96.3 	: 
A,PTP_RT,F,EMP,AC3,DE	: 	95.4 
A,PTP_RT,F,EMP,AC3,EE	97.3 	94.4 
A,PTP_RT,F,EMP,AC3,EL	: 	92.7 
A,PTP_RT,F,EMP,AC3,ES	93.3 	93.0 
A,PTP_RT,F,EMP,AC3,FI	98.0 	96.2 
A,PTP_RT,F,EMP,AC3,FR	: 	94.2 
A,PTP_RT,F,EMP,AC3,HU	: 	96.8 
A,PTP_RT,F,EMP,AC3,IT	93.9 	93.7 
A,PTP_RT,F,EMP,AC3,LT	97.4 	: 
A,PTP_RT,F,EMP,AC3,LV	94.1 	: 
A,PTP_RT,F,EMP,AC3,NL	: 	95.5 
A,PTP_RT,F,EMP,AC3,NO	98.5 	98.1 
A,PTP_RT,F,EMP,AC3,PL	98.2 	97.2 
A,PTP_RT,F,EMP,AC3,RO	: 	95.7 
A,PTP_RT,F,EMP,AC3,RS	: 	96.4 
A,PTP_RT,F,EMP,AC3,SI	96.9 	: 
A,PTP_RT,F,EMP,AC3,UK	96.7 	95.9 
A,PTP_RT,F,EMP,AC313,AT	: 	44.5 
A,PTP_RT,F,EMP,AC313,BE	54.5 	58.7 
A,PTP_RT,F,EMP,AC313,BG	74.7 	: 
A,PTP_RT,F,EMP,AC313,DE	: 	38.0 
A,PTP_RT,F,EMP,AC313,EE	68.1 	51.3 
A,PTP_RT,F,EMP,AC313,EL	: 	64.7 
A,PTP_RT,F,EMP,AC313,ES	54.1 	52.2 
A,PTP_RT,F,EMP,AC313,FI	51.1 	45.7 
A,PTP_RT,F,EMP,AC313,FR	: 	39.3 
A,PTP_RT,F,EMP,AC313,HU	: 	64.6 
A,PTP_RT,F,EMP,AC313,IT	61.0 	47.3 
A,PTP_RT,F,EMP,AC313,LT	65.5 	: 
A,PTP_RT,F,EMP,AC313,LV	59.9 	: 
A,PTP_RT,F,EMP,AC313,NL	: 	48.2 
A,PTP_RT,F,EMP,AC313,NO	62.9 	60.1 
A,PTP_RT,F,EMP,AC313,PL	71.5 	59.1 
A,PTP_RT,F,EMP,AC313,RO	: 	76.3 
A,PTP_RT,F,EMP,AC313,RS	: 	71.3 
A,PTP_RT,F,EMP,AC313,SI	68.6 	: 
A,PTP_RT,F,EMP,AC313,UK	55.7 	42.7 
A,PTP_RT,F,EMP,AC31A,AT	: 	75.7 
A,PTP_RT,F,EMP,AC31A,BE	81.8 	74.0 
A,PTP_RT,F,EMP,AC31A,BG	86.2 	: 
A,PTP_RT,F,EMP,AC31A,DE	: 	71.0 
A,PTP_RT,F,EMP,AC31A,EE	88.2 	81.1 
A,PTP_RT,F,EMP,AC31A,EL	: 	80.1 
A,PTP_RT,F,EMP,AC31A,ES	80.9 	74.9 
A,PTP_RT,F,EMP,AC31A,FI	83.4 	79.9 
A,PTP_RT,F,EMP,AC31A,FR	: 	76.2 
A,PTP_RT,F,EMP,AC31A,HU	: 	81.2 
A,PTP_RT,F,EMP,AC31A,IT	80.4 	82.4 
A,PTP_RT,F,EMP,AC31A,LT	88.7 	: 
A,PTP_RT,F,EMP,AC31A,LV	80.7 	: 
A,PTP_RT,F,EMP,AC31A,NL	: 	73.7 
A,PTP_RT,F,EMP,AC31A,NO	86.6 	85.0 
A,PTP_RT,F,EMP,AC31A,PL	93.0 	88.1 
A,PTP_RT,F,EMP,AC31A,RO	: 	84.3 
A,PTP_RT,F,EMP,AC31A,RS	: 	84.7 
A,PTP_RT,F,EMP,AC31A,SI	84.1 	: 
A,PTP_RT,F,EMP,AC31A,UK	85.1 	76.9 
A,PTP_RT,F,EMP,AC321,AT	: 	62.1 
A,PTP_RT,F,EMP,AC321,BE	41.2 	24.2 
A,PTP_RT,F,EMP,AC321,BG	50.4 	: 
A,PTP_RT,F,EMP,AC321,DE	: 	53.9 
A,PTP_RT,F,EMP,AC321,EE	63.2 	45.2 
A,PTP_RT,F,EMP,AC321,EL	: 	50.1 
A,PTP_RT,F,EMP,AC321,ES	58.2 	46.8 
A,PTP_RT,F,EMP,AC321,FI	53.4 	44.3 
A,PTP_RT,F,EMP,AC321,FR	: 	58.5 
A,PTP_RT,F,EMP,AC321,HU	: 	46.6 
A,PTP_RT,F,EMP,AC321,IT	72.9 	69.1 
A,PTP_RT,F,EMP,AC321,LT	70.1 	: 
A,PTP_RT,F,EMP,AC321,LV	43.4 	: 
A,PTP_RT,F,EMP,AC321,NL	: 	45.8 
A,PTP_RT,F,EMP,AC321,NO	62.2 	59.9 
A,PTP_RT,F,EMP,AC321,PL	55.1 	51.0 
A,PTP_RT,F,EMP,AC321,RO	: 	46.2 
A,PTP_RT,F,EMP,AC321,RS	: 	54.0 
A,PTP_RT,F,EMP,AC321,SI	62.9 	: 
A,PTP_RT,F,EMP,AC321,UK	56.1 	39.0 
