freq,unit,acl00,sex,geo\TIME_PERIOD	2000 	2010 
A,PTP_TIME,AC_NP_SEC,F,EL	: 	0:57 
A,PTP_TIME,AC_NP_SEC,F,ES	: 	1:04 
A,PTP_TIME,AC_NP_SEC,F,FI	1:10 	1:05 
A,PTP_TIME,AC_NP_SEC,F,FR	1:17 	1:21 
A,PTP_TIME,AC_NP_SEC,F,HU	: 	1:50 
A,PTP_TIME,AC_NP_SEC,F,IT	1:05 	1:02 
A,PTP_TIME,AC_NP_SEC,F,LT	1:17 	: 
A,PTP_TIME,AC_NP_SEC,F,LU	: 	0:40 
A,PTP_TIME,AC_NP_SEC,F,LV	1:14 	: 
A,PTP_TIME,AC_NP_SEC,F,NL	: 	0:54 
A,PTP_TIME,AC_NP_SEC,F,NO	1:00 	0:54 
A,PTP_TIME,AC_NP_SEC,F,PL	1:00 	1:07 
A,PTP_TIME,AC_NP_SEC,F,RO	: 	0:56 
A,PTP_TIME,AC_NP_SEC,F,RS	: 	1:02 
A,PTP_TIME,AC_NP_SEC,F,SI	1:19 	: 
A,PTP_TIME,AC_NP_SEC,F,TR	: 	0:00 
A,PTP_TIME,AC_NP_SEC,F,UK	1:20 	0:59 
A,PTP_TIME,AC_NP_SEC,M,AT	: 	0:48 
A,PTP_TIME,AC_NP_SEC,M,BE	0:37 	1:08 
A,PTP_TIME,AC_NP_SEC,M,BG	1:09 	: 
A,PTP_TIME,AC_NP_SEC,M,DE	0:49 	1:05 
A,PTP_TIME,AC_NP_SEC,M,EE	0:54 	0:54 
A,PTP_TIME,AC_NP_SEC,M,EL	: 	0:59 
A,PTP_TIME,AC_NP_SEC,M,ES	: 	1:03 
A,PTP_TIME,AC_NP_SEC,M,FI	0:40 	0:54 
A,PTP_TIME,AC_NP_SEC,M,FR	0:57 	1:23 
A,PTP_TIME,AC_NP_SEC,M,HU	: 	2:06 
A,PTP_TIME,AC_NP_SEC,M,IT	0:48 	0:59 
A,PTP_TIME,AC_NP_SEC,M,LT	0:48 	: 
A,PTP_TIME,AC_NP_SEC,M,LU	: 	0:39 
A,PTP_TIME,AC_NP_SEC,M,LV	0:52 	: 
A,PTP_TIME,AC_NP_SEC,M,NL	: 	0:53 
A,PTP_TIME,AC_NP_SEC,M,NO	0:34 	0:47 
A,PTP_TIME,AC_NP_SEC,M,PL	0:42 	0:48 
A,PTP_TIME,AC_NP_SEC,M,RO	: 	0:45 
A,PTP_TIME,AC_NP_SEC,M,RS	: 	1:01 
A,PTP_TIME,AC_NP_SEC,M,SI	0:59 	: 
A,PTP_TIME,AC_NP_SEC,M,TR	: 	0:00 
A,PTP_TIME,AC_NP_SEC,M,UK	0:50 	0:53 
A,PTP_TIME,AC_NP_SEC,T,AT	: 	0:51 
A,PTP_TIME,AC_NP_SEC,T,BE	0:45 	1:09 
A,PTP_TIME,AC_NP_SEC,T,BG	1:33 	: 
A,PTP_TIME,AC_NP_SEC,T,DE	1:07 	1:14 
A,PTP_TIME,AC_NP_SEC,T,EE	1:15 	1:07 
A,PTP_TIME,AC_NP_SEC,T,EL	: 	0:58 
A,PTP_TIME,AC_NP_SEC,T,ES	: 	1:03 
A,PTP_TIME,AC_NP_SEC,T,FI	1:01 	1:00 
A,PTP_TIME,AC_NP_SEC,T,FR	1:11 	1:22 
