freq,unit,sex,acl00,geo\TIME_PERIOD	2000 	2010 
A,PTP_TIME,F,AC_NP_MAIN,NL	: 	3:43 
A,PTP_TIME,F,AC_NP_MAIN,NO	3:56 	3:46 
A,PTP_TIME,F,AC_NP_MAIN,PL	4:56 	4:50 
A,PTP_TIME,F,AC_NP_MAIN,RO	: 	5:14 
A,PTP_TIME,F,AC_NP_MAIN,RS	: 	5:08 
A,PTP_TIME,F,AC_NP_MAIN,SI	5:05 	: 
A,PTP_TIME,F,AC_NP_MAIN,TR	: 	5:22 
A,PTP_TIME,F,AC_NP_MAIN,UK	4:25 	4:01 
A,PTP_TIME,F,AC_NP_SEC,AT	: 	0:55 
A,PTP_TIME,F,AC_NP_SEC,BE	0:50 	1:09 
A,PTP_TIME,F,AC_NP_SEC,BG	1:40 	: 
A,PTP_TIME,F,AC_NP_SEC,DE	1:17 	1:23 
A,PTP_TIME,F,AC_NP_SEC,EE	1:22 	1:17 
A,PTP_TIME,F,AC_NP_SEC,EL	: 	0:57 
A,PTP_TIME,F,AC_NP_SEC,ES	: 	1:04 
A,PTP_TIME,F,AC_NP_SEC,FI	1:10 	1:05 
A,PTP_TIME,F,AC_NP_SEC,FR	1:17 	1:21 
A,PTP_TIME,F,AC_NP_SEC,HU	: 	1:50 
A,PTP_TIME,F,AC_NP_SEC,IT	1:05 	1:02 
A,PTP_TIME,F,AC_NP_SEC,LT	1:17 	: 
A,PTP_TIME,F,AC_NP_SEC,LU	: 	0:40 
A,PTP_TIME,F,AC_NP_SEC,LV	1:14 	: 
A,PTP_TIME,F,AC_NP_SEC,NL	: 	0:54 
A,PTP_TIME,F,AC_NP_SEC,NO	1:00 	0:54 
A,PTP_TIME,F,AC_NP_SEC,PL	1:00 	1:07 
A,PTP_TIME,F,AC_NP_SEC,RO	: 	0:56 
A,PTP_TIME,F,AC_NP_SEC,RS	: 	1:02 
A,PTP_TIME,F,AC_NP_SEC,SI	1:19 	: 
A,PTP_TIME,F,AC_NP_SEC,TR	: 	0:00 
A,PTP_TIME,F,AC_NP_SEC,UK	1:20 	0:59 
A,PTP_TIME,M,AC_NP_MAIN,AT	: 	2:54 
A,PTP_TIME,M,AC_NP_MAIN,BE	2:44 	2:50 
A,PTP_TIME,M,AC_NP_MAIN,BG	3:23 	: 
A,PTP_TIME,M,AC_NP_MAIN,DE	2:54 	2:45 
A,PTP_TIME,M,AC_NP_MAIN,EE	3:10 	3:03 
A,PTP_TIME,M,AC_NP_MAIN,EL	: 	2:13 
A,PTP_TIME,M,AC_NP_MAIN,ES	2:21 	2:46 
A,PTP_TIME,M,AC_NP_MAIN,FI	2:43 	2:44 
A,PTP_TIME,M,AC_NP_MAIN,FR	3:05 	2:55 
A,PTP_TIME,M,AC_NP_MAIN,HU	: 	3:04 
A,PTP_TIME,M,AC_NP_MAIN,IT	2:23 	2:27 
A,PTP_TIME,M,AC_NP_MAIN,LT	2:52 	: 
A,PTP_TIME,M,AC_NP_MAIN,LU	: 	2:20 
A,PTP_TIME,M,AC_NP_MAIN,LV	2:35 	: 
A,PTP_TIME,M,AC_NP_MAIN,NL	: 	2:39 
A,PTP_TIME,M,AC_NP_MAIN,NO	2:38 	3:01 
A,PTP_TIME,M,AC_NP_MAIN,PL	2:52 	2:54 
A,PTP_TIME,M,AC_NP_MAIN,RO	: 	2:48 
A,PTP_TIME,M,AC_NP_MAIN,RS	: 	2:46 
A,PTP_TIME,M,AC_NP_MAIN,SI	3:17 	: 
A,PTP_TIME,M,AC_NP_MAIN,TR	: 	1:49 
A,PTP_TIME,M,AC_NP_MAIN,UK	2:41 	2:26 
A,PTP_TIME,M,AC_NP_SEC,AT	: 	0:48 
A,PTP_TIME,M,AC_NP_SEC,BE	0:37 	1:08 
A,PTP_TIME,M,AC_NP_SEC,BG	1:09 	: 
A,PTP_TIME,M,AC_NP_SEC,DE	0:49 	1:05 
A,PTP_TIME,M,AC_NP_SEC,EE	0:54 	0:54 
A,PTP_TIME,M,AC_NP_SEC,EL	: 	0:59 
A,PTP_TIME,M,AC_NP_SEC,ES	: 	1:03 
A,PTP_TIME,M,AC_NP_SEC,FI	0:40 	0:54 
A,PTP_TIME,M,AC_NP_SEC,FR	0:57 	1:23 
A,PTP_TIME,M,AC_NP_SEC,HU	: 	2:06 
A,PTP_TIME,M,AC_NP_SEC,IT	0:48 	0:59 
A,PTP_TIME,M,AC_NP_SEC,LT	0:48 	: 
A,PTP_TIME,M,AC_NP_SEC,LU	: 	0:39 
A,PTP_TIME,M,AC_NP_SEC,LV	0:52 	: 
A,PTP_TIME,M,AC_NP_SEC,NL	: 	0:53 
A,PTP_TIME,M,AC_NP_SEC,NO	0:34 	0:47 
A,PTP_TIME,M,AC_NP_SEC,PL	0:42 	0:48 
A,PTP_TIME,M,AC_NP_SEC,RO	: 	0:45 
A,PTP_TIME,M,AC_NP_SEC,RS	: 	1:01 
A,PTP_TIME,M,AC_NP_SEC,SI	0:59 	: 
A,PTP_TIME,M,AC_NP_SEC,TR	: 	0:00 
