freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,T,Y15-29,PTP_RT,BG	13.74 
A,T,Y15-29,PTP_RT,DE	13.26 
A,T,Y15-29,PTP_RT,EE	17.61 
A,T,Y15-29,PTP_RT,FI	14.51 
A,T,Y15-29,PTP_RT,NO	11.43 
A,T,Y15-29,PTP_RT,RS	88.34 
A,T,Y15-29,PTP_TIME,AT	3:22 
A,T,Y15-29,PTP_TIME,BG	3:48 
A,T,Y15-29,PTP_TIME,DE	3:24 
A,T,Y15-29,PTP_TIME,EE	3:12 
A,T,Y15-29,PTP_TIME,FI	2:28 
A,T,Y15-29,PTP_TIME,NO	2:58 
A,T,Y15-29,PTP_TIME,RS	3:13 
A,T,Y15-29,TIME_SP,AT	0:18 
A,T,Y15-29,TIME_SP,BG	0:31 
A,T,Y15-29,TIME_SP,DE	0:27 
A,T,Y15-29,TIME_SP,EE	0:34 
A,T,Y15-29,TIME_SP,FI	0:21 
A,T,Y15-29,TIME_SP,NO	0:20 
A,T,Y15-29,TIME_SP,RS	2:50 
A,T,Y30-44,PTP_RT,AT	67.45 
A,T,Y30-44,PTP_RT,BG	56.51 
A,T,Y30-44,PTP_RT,DE	75.87 
A,T,Y30-44,PTP_RT,EE	66.92 
A,T,Y30-44,PTP_RT,FI	71.42 
A,T,Y30-44,PTP_RT,NO	68.66 
A,T,Y30-44,PTP_RT,RS	60.47 
A,T,Y30-44,PTP_TIME,AT	2:37 
A,T,Y30-44,PTP_TIME,BG	1:53 
A,T,Y30-44,PTP_TIME,DE	2:41 
A,T,Y30-44,PTP_TIME,EE	1:59 
A,T,Y30-44,PTP_TIME,FI	2:26 
A,T,Y30-44,PTP_TIME,NO	2:22 
A,T,Y30-44,PTP_TIME,RS	2:17 
A,T,Y30-44,TIME_SP,AT	1:46 
A,T,Y30-44,TIME_SP,BG	1:04 
A,T,Y30-44,TIME_SP,DE	2:02 
A,T,Y30-44,TIME_SP,EE	1:20 
A,T,Y30-44,TIME_SP,FI	1:44 
A,T,Y30-44,TIME_SP,NO	1:38 
A,T,Y30-44,TIME_SP,RS	1:23 
A,T,Y45-64,PTP_RT,AT	21.29 
A,T,Y45-64,PTP_RT,BG	22.19 
A,T,Y45-64,PTP_RT,DE	22.98 
A,T,Y45-64,PTP_RT,EE	31.72 
A,T,Y45-64,PTP_RT,FI	23.66 
A,T,Y45-64,PTP_RT,NO	27.58 
A,T,Y45-64,PTP_RT,RS	16.30 
A,T,Y45-64,PTP_TIME,AT	1:34 
A,T,Y45-64,PTP_TIME,BG	1:00 
A,T,Y45-64,PTP_TIME,DE	1:38 
A,T,Y45-64,PTP_TIME,EE	1:06 
A,T,Y45-64,PTP_TIME,FI	1:16 
A,T,Y45-64,PTP_TIME,NO	1:55 
A,T,Y45-64,PTP_TIME,RS	1:18 
A,T,Y45-64,TIME_SP,AT	0:20 
A,T,Y45-64,TIME_SP,BG	0:13 
A,T,Y45-64,TIME_SP,DE	0:23 
A,T,Y45-64,TIME_SP,EE	0:21 
A,T,Y45-64,TIME_SP,FI	0:18 
A,T,Y45-64,TIME_SP,NO	0:32 
A,T,Y45-64,TIME_SP,RS	0:13 
