freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,F,Y_GE60,PTP_TIME,RS	4:19 
A,F,Y_GE60,TIME_SP,AT	3:30 
A,F,Y_GE60,TIME_SP,BG	4:20 
A,F,Y_GE60,TIME_SP,DE	3:55 
A,F,Y_GE60,TIME_SP,EE	3:38 
A,F,Y_GE60,TIME_SP,FI	4:04 
A,F,Y_GE60,TIME_SP,NO	3:46 
A,F,Y_GE60,TIME_SP,RS	4:13 
A,F,Y_GE65,PTP_RT,AT	95.58 
A,F,Y_GE65,PTP_RT,BG	98.83 
A,F,Y_GE65,PTP_RT,DE	95.42 
A,F,Y_GE65,PTP_RT,EE	96.84 
A,F,Y_GE65,PTP_RT,FI	98.40 
A,F,Y_GE65,PTP_RT,NO	92.51 
A,F,Y_GE65,PTP_RT,RS	98.52 
A,F,Y_GE65,PTP_TIME,AT	3:49 
A,F,Y_GE65,PTP_TIME,BG	4:36 
A,F,Y_GE65,PTP_TIME,DE	4:10 
A,F,Y_GE65,PTP_TIME,EE	3:57 
A,F,Y_GE65,PTP_TIME,FI	4:15 
A,F,Y_GE65,PTP_TIME,NO	4:10 
A,F,Y_GE65,PTP_TIME,RS	4:29 
A,F,Y_GE65,TIME_SP,AT	3:39 
A,F,Y_GE65,TIME_SP,BG	4:33 
A,F,Y_GE65,TIME_SP,DE	3:59 
A,F,Y_GE65,TIME_SP,EE	3:50 
A,F,Y_GE65,TIME_SP,FI	4:11 
A,F,Y_GE65,TIME_SP,NO	3:52 
A,F,Y_GE65,TIME_SP,RS	4:25 
A,F,Y_GE75,PTP_RT,AT	95.66 
A,F,Y_GE75,PTP_RT,BG	98.06 
A,F,Y_GE75,PTP_RT,DE	95.83 
A,F,Y_GE75,PTP_RT,EE	97.75 
A,F,Y_GE75,PTP_RT,FI	98.34 
A,F,Y_GE75,PTP_RT,NO	91.65 
A,F,Y_GE75,PTP_RT,RS	99.34 
A,F,Y_GE75,PTP_TIME,AT	3:53 
A,F,Y_GE75,PTP_TIME,BG	4:55 
A,F,Y_GE75,PTP_TIME,DE	4:07 
A,F,Y_GE75,PTP_TIME,EE	4:09 
A,F,Y_GE75,PTP_TIME,FI	4:03 
A,F,Y_GE75,PTP_TIME,NO	4:31 
A,F,Y_GE75,PTP_TIME,RS	4:42 
A,F,Y_GE75,TIME_SP,AT	3:43 
A,F,Y_GE75,TIME_SP,BG	4:49 
A,F,Y_GE75,TIME_SP,DE	3:57 
A,F,Y_GE75,TIME_SP,EE	4:03 
A,F,Y_GE75,TIME_SP,FI	3:59 
A,F,Y_GE75,TIME_SP,NO	4:08 
A,F,Y_GE75,TIME_SP,RS	4:40 
A,M,TOTAL,PTP_RT,AT	89.00 
A,M,TOTAL,PTP_RT,BG	96.67 
A,M,TOTAL,PTP_RT,DE	90.19 
A,M,TOTAL,PTP_RT,EE	92.52 
A,M,TOTAL,PTP_RT,FI	92.97 
A,M,TOTAL,PTP_RT,NO	84.90 
A,M,TOTAL,PTP_RT,RS	95.42 
A,M,TOTAL,PTP_TIME,AT	3:47 
A,M,TOTAL,PTP_TIME,BG	3:31 
A,M,TOTAL,PTP_TIME,DE	4:01 
A,M,TOTAL,PTP_TIME,EE	3:54 
A,M,TOTAL,PTP_TIME,FI	4:20 
A,M,TOTAL,PTP_TIME,NO	4:23 
A,M,TOTAL,PTP_TIME,RS	3:51 
A,M,TOTAL,TIME_SP,AT	3:22 
A,M,TOTAL,TIME_SP,BG	3:24 
A,M,TOTAL,TIME_SP,DE	3:37 
A,M,TOTAL,TIME_SP,EE	3:36 
A,M,TOTAL,TIME_SP,FI	4:02 
A,M,TOTAL,TIME_SP,NO	3:43 
A,M,TOTAL,TIME_SP,RS	3:41 
A,M,Y10-14,PTP_RT,AT	87.98 
A,M,Y10-14,PTP_RT,BG	95.50 
A,M,Y10-14,PTP_RT,DE	89.27 
A,M,Y10-14,PTP_RT,EE	94.76 
A,M,Y10-14,PTP_RT,FI	90.94 
A,M,Y10-14,PTP_RT,NO	91.44 
A,M,Y10-14,PTP_TIME,AT	3:20 
A,M,Y10-14,PTP_TIME,BG	3:37 
A,M,Y10-14,PTP_TIME,DE	3:59 
A,M,Y10-14,PTP_TIME,EE	4:12 
A,M,Y10-14,PTP_TIME,FI	4:20 
A,M,Y10-14,PTP_TIME,NO	4:49 
A,M,Y10-14,TIME_SP,AT	2:56 
A,M,Y10-14,TIME_SP,BG	3:28 
A,M,Y10-14,TIME_SP,DE	3:33 
A,M,Y10-14,TIME_SP,EE	3:59 
A,M,Y10-14,TIME_SP,FI	3:57 
A,M,Y10-14,TIME_SP,NO	4:25 
A,M,Y15-24,PTP_RT,AT	83.10 
A,M,Y15-24,PTP_RT,BG	96.29 
A,M,Y15-24,PTP_RT,DE	87.66 
A,M,Y15-24,PTP_RT,EE	87.45 
A,M,Y15-24,PTP_RT,FI	93.19 
A,M,Y15-24,PTP_RT,NO	86.14 
A,M,Y15-24,PTP_RT,RS	92.12 
A,M,Y15-24,PTP_TIME,AT	4:19 
A,M,Y15-24,PTP_TIME,BG	3:26 
A,M,Y15-24,PTP_TIME,DE	4:36 
A,M,Y15-24,PTP_TIME,EE	4:32 
A,M,Y15-24,PTP_TIME,FI	5:09 
A,M,Y15-24,PTP_TIME,NO	5:20 
A,M,Y15-24,PTP_TIME,RS	4:07 
A,M,Y15-24,TIME_SP,AT	3:35 
A,M,Y15-24,TIME_SP,BG	3:19 
A,M,Y15-24,TIME_SP,DE	4:02 
A,M,Y15-24,TIME_SP,EE	3:58 
A,M,Y15-24,TIME_SP,FI	4:48 
A,M,Y15-24,TIME_SP,NO	4:35 
A,M,Y15-24,TIME_SP,RS	3:47 
A,M,Y15-29,PTP_RT,AT	83.52 
A,M,Y15-29,PTP_RT,BG	94.21 
A,M,Y15-29,PTP_RT,DE	86.97 
A,M,Y15-29,PTP_RT,EE	90.02 
A,M,Y15-29,PTP_RT,FI	92.96 
A,M,Y15-29,PTP_RT,NO	82.41 
A,M,Y15-29,PTP_RT,RS	93.13 
A,M,Y15-29,PTP_TIME,AT	4:06 
A,M,Y15-29,PTP_TIME,BG	3:18 
A,M,Y15-29,PTP_TIME,DE	4:21 
A,M,Y15-29,PTP_TIME,EE	4:22 
A,M,Y15-29,PTP_TIME,FI	4:58 
A,M,Y15-29,PTP_TIME,NO	5:10 
A,M,Y15-29,PTP_TIME,RS	3:48 
A,M,Y15-29,TIME_SP,AT	3:26 
A,M,Y15-29,TIME_SP,BG	3:06 
A,M,Y15-29,TIME_SP,DE	3:47 
