freq,sex,age,acl18,unit,geo\TIME_PERIOD	2020 
A,F,TOTAL,AC821,PTP_TIME,NO	1:39 
A,F,TOTAL,AC821,PTP_TIME,RS	1:23 
A,F,TOTAL,AC821,TIME_SP,AT	0:18 
A,F,TOTAL,AC821,TIME_SP,BG	0:54 
A,F,TOTAL,AC821,TIME_SP,DE	0:22 
A,F,TOTAL,AC821,TIME_SP,EE	0:27 
A,F,TOTAL,AC821,TIME_SP,FI	0:28 
A,F,TOTAL,AC821,TIME_SP,NO	0:30 
A,F,TOTAL,AC821,TIME_SP,RS	0:26 
A,F,TOTAL,AC831,PTP_RT,AT	34.84 
A,F,TOTAL,AC831,PTP_RT,BG	23.04 
A,F,TOTAL,AC831,PTP_RT,DE	50.10 
A,F,TOTAL,AC831,PTP_RT,EE	42.08 
A,F,TOTAL,AC831,PTP_RT,FI	47.45 
A,F,TOTAL,AC831,PTP_RT,NO	26.43 
A,F,TOTAL,AC831,PTP_RT,RS	18.02 
A,F,TOTAL,AC831,PTP_TIME,AT	1:48 
A,F,TOTAL,AC831,PTP_TIME,BG	1:22 
A,F,TOTAL,AC831,PTP_TIME,DE	2:17 
A,F,TOTAL,AC831,PTP_TIME,EE	1:59 
A,F,TOTAL,AC831,PTP_TIME,FI	2:06 
A,F,TOTAL,AC831,PTP_TIME,NO	1:55 
A,F,TOTAL,AC831,PTP_TIME,RS	1:35 
A,F,TOTAL,AC831,TIME_SP,AT	0:38 
A,F,TOTAL,AC831,TIME_SP,BG	0:19 
A,F,TOTAL,AC831,TIME_SP,DE	1:08 
A,F,TOTAL,AC831,TIME_SP,EE	0:50 
A,F,TOTAL,AC831,TIME_SP,FI	1:00 
A,F,TOTAL,AC831,TIME_SP,NO	0:31 
A,F,TOTAL,AC831,TIME_SP,RS	0:17 
A,F,TOTAL,TOTAL,PTP_RT,AT	82.87 
A,F,TOTAL,TOTAL,PTP_RT,BG	90.94 
A,F,TOTAL,TOTAL,PTP_RT,DE	88.16 
