freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,F,Y65-74,TIME_SP,DE	4:29 
A,F,Y65-74,TIME_SP,EE	2:48 
A,F,Y65-74,TIME_SP,FI	3:01 
A,F,Y65-74,TIME_SP,NO	5:23 
A,F,Y65-74,TIME_SP,RS	2:58 
A,F,Y_GE60,PTP_RT,AT	84.12 
A,F,Y_GE60,PTP_RT,BG	87.92 
A,F,Y_GE60,PTP_RT,DE	91.35 
A,F,Y_GE60,PTP_RT,EE	75.02 
A,F,Y_GE60,PTP_RT,FI	77.70 
A,F,Y_GE60,PTP_RT,NO	89.17 
A,F,Y_GE60,PTP_RT,RS	85.57 
A,F,Y_GE60,PTP_TIME,AT	3:49 
A,F,Y_GE60,PTP_TIME,BG	3:22 
A,F,Y_GE60,PTP_TIME,DE	4:42 
A,F,Y_GE60,PTP_TIME,EE	3:43 
A,F,Y_GE60,PTP_TIME,FI	3:25 
A,F,Y_GE60,PTP_TIME,NO	5:54 
A,F,Y_GE60,PTP_TIME,RS	3:24 
A,F,Y_GE60,TIME_SP,AT	3:13 
A,F,Y_GE60,TIME_SP,BG	2:57 
A,F,Y_GE60,TIME_SP,DE	4:18 
A,F,Y_GE60,TIME_SP,EE	2:48 
A,F,Y_GE60,TIME_SP,FI	2:39 
A,F,Y_GE60,TIME_SP,NO	5:16 
A,F,Y_GE60,TIME_SP,RS	2:55 
A,F,Y_GE65,PTP_RT,AT	83.58 
A,F,Y_GE65,PTP_RT,BG	86.92 
A,F,Y_GE65,PTP_RT,DE	91.44 
A,F,Y_GE65,PTP_RT,EE	73.11 
A,F,Y_GE65,PTP_RT,FI	75.07 
A,F,Y_GE65,PTP_RT,NO	89.51 
A,F,Y_GE65,PTP_RT,RS	84.19 
A,F,Y_GE65,PTP_TIME,AT	3:35 
A,F,Y_GE65,PTP_TIME,BG	3:22 
A,F,Y_GE65,PTP_TIME,DE	4:36 
A,F,Y_GE65,PTP_TIME,EE	3:35 
A,F,Y_GE65,PTP_TIME,FI	3:20 
A,F,Y_GE65,PTP_TIME,NO	6:03 
A,F,Y_GE65,PTP_TIME,RS	3:23 
A,F,Y_GE65,TIME_SP,AT	3:00 
A,F,Y_GE65,TIME_SP,BG	2:56 
A,F,Y_GE65,TIME_SP,DE	4:12 
A,F,Y_GE65,TIME_SP,EE	2:37 
A,F,Y_GE65,TIME_SP,FI	2:30 
A,F,Y_GE65,TIME_SP,NO	5:25 
A,F,Y_GE65,TIME_SP,RS	2:51 
A,F,Y_GE75,PTP_RT,AT	81.97 
A,F,Y_GE75,PTP_RT,BG	84.13 
A,F,Y_GE75,PTP_RT,DE	90.25 
A,F,Y_GE75,PTP_RT,EE	68.87 
A,F,Y_GE75,PTP_RT,FI	66.46 
A,F,Y_GE75,PTP_RT,NO	92.50 
A,F,Y_GE75,PTP_RT,RS	84.76 
A,F,Y_GE75,PTP_TIME,AT	3:02 
A,F,Y_GE75,PTP_TIME,BG	3:15 
A,F,Y_GE75,PTP_TIME,DE	3:58 
A,F,Y_GE75,PTP_TIME,EE	3:31 
A,F,Y_GE75,PTP_TIME,FI	2:51 
A,F,Y_GE75,PTP_TIME,NO	5:59 
A,F,Y_GE75,PTP_TIME,RS	3:09 
A,F,Y_GE75,TIME_SP,AT	2:29 
A,F,Y_GE75,TIME_SP,BG	2:44 
A,F,Y_GE75,TIME_SP,DE	3:35 
A,F,Y_GE75,TIME_SP,EE	2:26 
A,F,Y_GE75,TIME_SP,FI	1:54 
A,F,Y_GE75,TIME_SP,NO	5:32 
A,F,Y_GE75,TIME_SP,RS	2:40 
A,M,TOTAL,PTP_RT,AT	78.16 
A,M,TOTAL,PTP_RT,BG	92.46 
A,M,TOTAL,PTP_RT,DE	87.21 
A,M,TOTAL,PTP_RT,EE	78.46 
