A,F,H0010-0019,AC1_2,PTP_RT,DE	0.41 
A,F,H0010-0019,AC1_2,PTP_RT,EE	1.05 
A,F,H0010-0019,AC1_2,PTP_RT,FI	0.61 
A,F,H0010-0019,AC1_2,PTP_RT,NO	1.27 
A,F,H0010-0019,AC1_2,PTP_RT,RS	0.80 
A,F,H0010-0019,AC3_713_936-980,PTP_RT,AT	0.70 
A,F,H0010-0019,AC3_713_936-980,PTP_RT,BG	0.70 
A,F,H0010-0019,AC3_713_936-980,PTP_RT,DE	0.99 
A,F,H0010-0019,AC3_713_936-980,PTP_RT,EE	1.21 
A,F,H0010-0019,AC3_713_936-980,PTP_RT,FI	1.15 
A,F,H0010-0019,AC3_713_936-980,PTP_RT,NO	1.71 
A,F,H0010-0019,AC3_713_936-980,PTP_RT,RS	0.87 
A,F,H0010-0019,AC4-8_998_X_713_821,PTP_RT,AT	3.58 
A,F,H0010-0019,AC4-8_998_X_713_821,PTP_RT,BG	1.19 
A,F,H0010-0019,AC4-8_998_X_713_821,PTP_RT,DE	4.29 
A,F,H0010-0019,AC4-8_998_X_713_821,PTP_RT,EE	4.36 
A,F,H0010-0019,AC4-8_998_X_713_821,PTP_RT,FI	5.19 
A,F,H0010-0019,AC4-8_998_X_713_821,PTP_RT,NO	8.43 
A,F,H0010-0019,AC4-8_998_X_713_821,PTP_RT,RS	2.28 
A,F,H0010-0019,AC821,PTP_RT,AT	1.87 
A,F,H0010-0019,AC821,PTP_RT,BG	1.01 
A,F,H0010-0019,AC821,PTP_RT,DE	2.67 
A,F,H0010-0019,AC821,PTP_RT,EE	2.47 
A,F,H0010-0019,AC821,PTP_RT,FI	3.98 
A,F,H0010-0019,AC821,PTP_RT,NO	4.85 
A,F,H0010-0019,AC821,PTP_RT,RS	2.74 
A,F,H0010-0019,AC910_920,PTP_RT,AT	0.10 
A,F,H0010-0019,AC910_920,PTP_RT,BG	0.06 
A,F,H0010-0019,AC910_920,PTP_RT,DE	0.03 
A,F,H0010-0019,AC910_920,PTP_RT,EE	0.03 
A,F,H0010-0019,AC910_920,PTP_RT,FI	0.04 
A,F,H0010-0019,AC910_920,PTP_RT,NO	0.14 
A,F,H0010-0019,AC910_920,PTP_RT,RS	0.00 
A,F,H0010-0019,AC995-999,PTP_RT,AT	0.08 
A,F,H0010-0019,AC995-999,PTP_RT,BG	0.15 
