freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,M,Y_GE65,PTP_TIME,AT	1:42 
A,M,Y_GE65,PTP_TIME,BG	1:50 
A,M,Y_GE65,PTP_TIME,DE	1:29 
A,M,Y_GE65,PTP_TIME,EE	1:20 u
A,M,Y_GE65,PTP_TIME,FI	1:41 
A,M,Y_GE65,PTP_TIME,NO	1:27 u
A,M,Y_GE65,PTP_TIME,RS	1:33 
A,M,Y_GE65,TIME_SP,AT	0:07 
A,M,Y_GE65,TIME_SP,BG	0:06 
A,M,Y_GE65,TIME_SP,DE	0:07 
A,M,Y_GE65,TIME_SP,EE	0:03 
A,M,Y_GE65,TIME_SP,FI	0:08 
A,M,Y_GE65,TIME_SP,NO	0:07 
A,M,Y_GE65,TIME_SP,RS	0:09 
A,T,TOTAL,PTP_RT,AT	20.15 
A,T,TOTAL,PTP_RT,BG	16.44 
A,T,TOTAL,PTP_RT,DE	19.59 
A,T,TOTAL,PTP_RT,EE	18.93 
A,T,TOTAL,PTP_RT,FI	19.42 
A,T,TOTAL,PTP_RT,NO	22.71 
A,T,TOTAL,PTP_RT,RS	18.97 
A,T,TOTAL,PTP_TIME,AT	2:26 
A,T,TOTAL,PTP_TIME,BG	2:14 
A,T,TOTAL,PTP_TIME,DE	2:26 
A,T,TOTAL,PTP_TIME,EE	2:05 
A,T,TOTAL,PTP_TIME,FI	2:07 
A,T,TOTAL,PTP_TIME,NO	2:21 
A,T,TOTAL,PTP_TIME,RS	2:12 
A,T,TOTAL,TIME_SP,AT	0:29 
A,T,TOTAL,TIME_SP,BG	0:22 
A,T,TOTAL,TIME_SP,DE	0:29 
A,T,TOTAL,TIME_SP,EE	0:24 
A,T,TOTAL,TIME_SP,FI	0:25 
A,T,TOTAL,TIME_SP,NO	0:32 
A,T,TOTAL,TIME_SP,RS	0:25 
A,T,Y15-29,PTP_RT,AT	8.54 
A,T,Y15-29,PTP_RT,BG	18.28 
A,T,Y15-29,PTP_RT,DE	9.17 
A,T,Y15-29,PTP_RT,EE	10.33 
A,T,Y15-29,PTP_RT,FI	9.86 
A,T,Y15-29,PTP_RT,NO	8.67 
A,T,Y15-29,PTP_RT,RS	12.49 
A,T,Y15-29,PTP_TIME,AT	3:09 
A,T,Y15-29,PTP_TIME,BG	3:49 
A,T,Y15-29,PTP_TIME,DE	3:12 
A,T,Y15-29,PTP_TIME,EE	2:50 
A,T,Y15-29,PTP_TIME,FI	2:19 
A,T,Y15-29,PTP_TIME,NO	2:37 
A,T,Y15-29,PTP_TIME,RS	2:37 
A,T,Y15-29,TIME_SP,AT	0:16 
A,T,Y15-29,TIME_SP,BG	0:42 
A,T,Y15-29,TIME_SP,DE	0:18 
A,T,Y15-29,TIME_SP,EE	0:18 
A,T,Y15-29,TIME_SP,FI	0:14 
A,T,Y15-29,TIME_SP,NO	0:14 
A,T,Y15-29,TIME_SP,RS	0:20 
A,T,Y30-44,PTP_RT,AT	43.61 
A,T,Y30-44,PTP_RT,BG	35.84 
A,T,Y30-44,PTP_RT,DE	45.23 
A,T,Y30-44,PTP_RT,EE	43.15 
A,T,Y30-44,PTP_RT,FI	44.62 
A,T,Y30-44,PTP_RT,NO	48.90 
A,T,Y30-44,PTP_RT,RS	38.24 
A,T,Y30-44,PTP_TIME,AT	2:44 
A,T,Y30-44,PTP_TIME,BG	2:05 
A,T,Y30-44,PTP_TIME,DE	2:51 
A,T,Y30-44,PTP_TIME,EE	2:13 
A,T,Y30-44,PTP_TIME,FI	2:33 
A,T,Y30-44,PTP_TIME,NO	2:32 
A,T,Y30-44,PTP_TIME,RS	2:25 
A,T,Y30-44,TIME_SP,AT	1:12 
A,T,Y30-44,TIME_SP,BG	0:45 
A,T,Y30-44,TIME_SP,DE	1:17 
A,T,Y30-44,TIME_SP,EE	0:58 
A,T,Y30-44,TIME_SP,FI	1:08 
A,T,Y30-44,TIME_SP,NO	1:14 
A,T,Y30-44,TIME_SP,RS	0:56 
A,T,Y45-64,PTP_RT,AT	17.47 
A,T,Y45-64,PTP_RT,BG	10.77 
A,T,Y45-64,PTP_RT,DE	15.55 
A,T,Y45-64,PTP_RT,EE	14.07 
A,T,Y45-64,PTP_RT,FI	16.52 
A,T,Y45-64,PTP_RT,NO	19.04 
A,T,Y45-64,PTP_RT,RS	14.54 
A,T,Y45-64,PTP_TIME,AT	1:55 
A,T,Y45-64,PTP_TIME,BG	1:33 
A,T,Y45-64,PTP_TIME,DE	1:45 
A,T,Y45-64,PTP_TIME,EE	1:25 
A,T,Y45-64,PTP_TIME,FI	1:29 
A,T,Y45-64,PTP_TIME,NO	2:01 
A,T,Y45-64,PTP_TIME,RS	1:49 
A,T,Y45-64,TIME_SP,AT	0:20 
A,T,Y45-64,TIME_SP,BG	0:10 
A,T,Y45-64,TIME_SP,DE	0:16 
A,T,Y45-64,TIME_SP,EE	0:12 
A,T,Y45-64,TIME_SP,FI	0:15 
A,T,Y45-64,TIME_SP,NO	0:23 
A,T,Y45-64,TIME_SP,RS	0:16 
A,T,Y_GE65,PTP_RT,AT	9.01 
A,T,Y_GE65,PTP_RT,BG	6.22 
A,T,Y_GE65,PTP_RT,DE	9.01 
A,T,Y_GE65,PTP_RT,EE	5.41 
A,T,Y_GE65,PTP_RT,FI	9.99 
A,T,Y_GE65,PTP_RT,NO	9.83 
A,T,Y_GE65,PTP_RT,RS	10.65 
A,T,Y_GE65,PTP_TIME,AT	1:49 
A,T,Y_GE65,PTP_TIME,BG	1:54 
A,T,Y_GE65,PTP_TIME,DE	1:34 
A,T,Y_GE65,PTP_TIME,EE	2:06 
A,T,Y_GE65,PTP_TIME,FI	1:32 
A,T,Y_GE65,PTP_TIME,NO	2:00 
A,T,Y_GE65,PTP_TIME,RS	1:41 
A,T,Y_GE65,TIME_SP,AT	0:10 
A,T,Y_GE65,TIME_SP,BG	0:07 
A,T,Y_GE65,TIME_SP,DE	0:08 
A,T,Y_GE65,TIME_SP,EE	0:07 
A,T,Y_GE65,TIME_SP,FI	0:09 
A,T,Y_GE65,TIME_SP,NO	0:12 
A,T,Y_GE65,TIME_SP,RS	0:11 
