freq,sex,wstatus,acl18,unit,geo\TIME_PERIOD	2020 
A,F,EMP,AC300_371,TIME_SP,EE	0:07 
A,F,EMP,AC300_371,TIME_SP,FI	0:10 
A,F,EMP,AC300_371,TIME_SP,NO	0:17 
A,F,EMP,AC300_371,TIME_SP,RS	0:00 
A,F,EMP,AC312,PTP_RT,AT	22.28 
A,F,EMP,AC312,PTP_RT,BG	76.55 
A,F,EMP,AC312,PTP_RT,DE	35.36 
A,F,EMP,AC312,PTP_RT,EE	35.30 
A,F,EMP,AC312,PTP_RT,FI	25.05 
A,F,EMP,AC312,PTP_RT,NO	16.42 
A,F,EMP,AC312,PTP_RT,RS	62.58 
A,F,EMP,AC312,PTP_TIME,AT	0:27 
A,F,EMP,AC312,PTP_TIME,BG	0:36 
A,F,EMP,AC312,PTP_TIME,DE	0:26 
A,F,EMP,AC312,PTP_TIME,EE	0:22 
A,F,EMP,AC312,PTP_TIME,FI	0:24 
A,F,EMP,AC312,PTP_TIME,NO	0:26 
A,F,EMP,AC312,PTP_TIME,RS	0:37 
A,F,EMP,AC312,TIME_SP,AT	0:06 
A,F,EMP,AC312,TIME_SP,BG	0:27 
A,F,EMP,AC312,TIME_SP,DE	0:09 
A,F,EMP,AC312,TIME_SP,EE	0:08 
A,F,EMP,AC312,TIME_SP,FI	0:06 
A,F,EMP,AC312,TIME_SP,NO	0:04 
A,F,EMP,AC312,TIME_SP,RS	0:23 
A,F,EMP,AC31_X_312,PTP_RT,AT	66.85 
A,F,EMP,AC31_X_312,PTP_RT,BG	85.91 
A,F,EMP,AC31_X_312,PTP_RT,DE	69.17 
A,F,EMP,AC31_X_312,PTP_RT,EE	80.61 
A,F,EMP,AC31_X_312,PTP_RT,FI	63.54 
A,F,EMP,AC31_X_312,PTP_RT,NO	57.99 
A,F,EMP,AC31_X_312,PTP_RT,RS	78.50 
A,F,EMP,AC31_X_312,PTP_TIME,AT	1:06 
A,F,EMP,AC31_X_312,PTP_TIME,BG	1:15 
A,F,EMP,AC31_X_312,PTP_TIME,DE	0:53 
A,F,EMP,AC31_X_312,PTP_TIME,EE	0:55 
A,F,EMP,AC31_X_312,PTP_TIME,FI	0:54 
A,F,EMP,AC31_X_312,PTP_TIME,NO	1:02 
A,F,EMP,AC31_X_312,PTP_TIME,RS	1:21 
A,F,EMP,AC31_X_312,TIME_SP,AT	0:44 
A,F,EMP,AC31_X_312,TIME_SP,BG	1:05 
A,F,EMP,AC31_X_312,TIME_SP,DE	0:37 
A,F,EMP,AC31_X_312,TIME_SP,EE	0:45 
A,F,EMP,AC31_X_312,TIME_SP,FI	0:34 
A,F,EMP,AC31_X_312,TIME_SP,NO	0:36 
A,F,EMP,AC31_X_312,TIME_SP,RS	1:04 
A,F,EMP,AC321,PTP_RT,AT	46.71 
A,F,EMP,AC321,PTP_RT,BG	44.89 
A,F,EMP,AC321,PTP_RT,DE	47.85 
A,F,EMP,AC321,PTP_RT,EE	39.00 
A,F,EMP,AC321,PTP_RT,FI	30.97 
A,F,EMP,AC321,PTP_RT,NO	36.99 
A,F,EMP,AC321,PTP_RT,RS	43.00 
A,F,EMP,AC321,PTP_TIME,AT	1:14 
A,F,EMP,AC321,PTP_TIME,BG	0:44 
A,F,EMP,AC321,PTP_TIME,DE	1:06 
A,F,EMP,AC321,PTP_TIME,EE	0:52 
A,F,EMP,AC321,PTP_TIME,FI	0:58 
A,F,EMP,AC321,PTP_TIME,NO	1:08 
A,F,EMP,AC321,PTP_TIME,RS	0:53 
A,F,EMP,AC321,TIME_SP,AT	0:35 
A,F,EMP,AC321,TIME_SP,BG	0:20 
A,F,EMP,AC321,TIME_SP,DE	0:31 
A,F,EMP,AC321,TIME_SP,EE	0:20 
A,F,EMP,AC321,TIME_SP,FI	0:18 
A,F,EMP,AC321,TIME_SP,NO	0:25 
A,F,EMP,AC321,TIME_SP,RS	0:23 
A,F,EMP,AC32_X_321,PTP_RT,AT	27.28 
A,F,EMP,AC32_X_321,PTP_RT,BG	34.54 
A,F,EMP,AC32_X_321,PTP_RT,DE	26.40 
A,F,EMP,AC32_X_321,PTP_RT,EE	33.36 
A,F,EMP,AC32_X_321,PTP_RT,FI	36.08 
A,F,EMP,AC32_X_321,PTP_RT,NO	5.43 
A,F,EMP,AC32_X_321,PTP_RT,RS	29.36 
A,F,EMP,AC32_X_321,PTP_TIME,AT	0:43 
A,F,EMP,AC32_X_321,PTP_TIME,BG	0:29 
A,F,EMP,AC32_X_321,PTP_TIME,DE	0:36 
A,F,EMP,AC32_X_321,PTP_TIME,EE	0:34 
A,F,EMP,AC32_X_321,PTP_TIME,FI	0:47 
A,F,EMP,AC32_X_321,PTP_TIME,NO	0:40 
A,F,EMP,AC32_X_321,PTP_TIME,RS	0:34 
A,F,EMP,AC32_X_321,TIME_SP,AT	0:12 
A,F,EMP,AC32_X_321,TIME_SP,BG	0:10 
A,F,EMP,AC32_X_321,TIME_SP,DE	0:10 
A,F,EMP,AC32_X_321,TIME_SP,EE	0:11 
A,F,EMP,AC32_X_321,TIME_SP,FI	0:17 
A,F,EMP,AC32_X_321,TIME_SP,NO	0:02 
A,F,EMP,AC32_X_321,TIME_SP,RS	0:10 
A,F,EMP,AC33,PTP_RT,AT	25.79 
A,F,EMP,AC33,PTP_RT,BG	35.60 
A,F,EMP,AC33,PTP_RT,DE	24.18 
A,F,EMP,AC33,PTP_RT,EE	21.48 
A,F,EMP,AC33,PTP_RT,FI	25.95 
A,F,EMP,AC33,PTP_RT,NO	24.23 
A,F,EMP,AC33,PTP_RT,RS	31.78 
A,F,EMP,AC33,PTP_TIME,AT	0:55 
A,F,EMP,AC33,PTP_TIME,BG	0:41 
A,F,EMP,AC33,PTP_TIME,DE	0:51 
A,F,EMP,AC33,PTP_TIME,EE	0:50 
A,F,EMP,AC33,PTP_TIME,FI	0:51 
A,F,EMP,AC33,PTP_TIME,NO	1:06 
A,F,EMP,AC33,PTP_TIME,RS	0:50 
A,F,EMP,AC33,TIME_SP,AT	0:14 
A,F,EMP,AC33,TIME_SP,BG	0:15 
A,F,EMP,AC33,TIME_SP,DE	0:12 
A,F,EMP,AC33,TIME_SP,EE	0:11 
A,F,EMP,AC33,TIME_SP,FI	0:13 
A,F,EMP,AC33,TIME_SP,NO	0:16 
A,F,EMP,AC33,TIME_SP,RS	0:16 
A,F,EMP,AC34,PTP_RT,AT	24.61 
A,F,EMP,AC34,PTP_RT,BG	12.71 
A,F,EMP,AC34,PTP_RT,DE	26.42 
A,F,EMP,AC34,PTP_RT,EE	24.86 
A,F,EMP,AC34,PTP_RT,FI	29.49 
A,F,EMP,AC34,PTP_RT,NO	21.45 
A,F,EMP,AC34,PTP_RT,RS	13.34 
A,F,EMP,AC34,PTP_TIME,AT	1:26 
A,F,EMP,AC34,PTP_TIME,BG	1:31 
A,F,EMP,AC34,PTP_TIME,DE	1:18 
A,F,EMP,AC34,PTP_TIME,EE	1:27 
A,F,EMP,AC34,PTP_TIME,FI	1:10 
A,F,EMP,AC34,PTP_TIME,NO	1:22 
A,F,EMP,AC34,PTP_TIME,RS	1:03 
A,F,EMP,AC34,TIME_SP,AT	0:21 
A,F,EMP,AC34,TIME_SP,BG	0:12 
A,F,EMP,AC34,TIME_SP,DE	0:21 
A,F,EMP,AC34,TIME_SP,EE	0:22 
A,F,EMP,AC34,TIME_SP,FI	0:21 
A,F,EMP,AC34,TIME_SP,NO	0:18 
A,F,EMP,AC34,TIME_SP,RS	0:08 
A,F,EMP,AC35,PTP_RT,AT	2.93 
A,F,EMP,AC35,PTP_RT,BG	0.28 
A,F,EMP,AC35,PTP_RT,DE	4.12 
A,F,EMP,AC35,PTP_RT,EE	2.66 
A,F,EMP,AC35,PTP_RT,FI	5.85 
A,F,EMP,AC35,PTP_RT,NO	5.44 
A,F,EMP,AC35,PTP_RT,RS	0.96 
A,F,EMP,AC35,PTP_TIME,AT	1:15 
A,F,EMP,AC35,PTP_TIME,BG	: u
A,F,EMP,AC35,PTP_TIME,DE	1:33 
